Specialty	Class	Year	Name	Value
Anesthesiology	PGY2	2014	Total Matches	482
Anesthesiology	PGY2	2014	U.S. Senior Ranked Positions	6099
Anesthesiology	PGY2	2014	Total Ranked Positions	8304
Anesthesiology	PGY2	2014	U.S. Senior Average Ranked Programs	6.1
Anesthesiology	PGY2	2014	Total Average Ranked Programs	5.3
Anesthesiology	PGY2	2014	Change in No. of Programs	-6
Anesthesiology	PGY2	2014	Change in Positions Offered	-65
Anesthesiology	PGY2	2014	Change in Unfilled Programs	5
Anesthesiology	PGY2	2014	Change in U.S. Senior Applicants	-66
Anesthesiology	PGY2	2014	Change in Total Applicants	-48
Anesthesiology	PGY2	2014	Change in U.S. Senior Matches	-71
Anesthesiology	PGY2	2014	Change in Total Matches	-80
Anesthesiology	PGY2	2014	Change in U.S. Senior Ranked Positions	-545
Anesthesiology	PGY2	2014	Change in Total Ranked Positions	-392
Anesthesiology	PGY2	2014	Change in U.S. Senior Average Ranked Programs	-0.10000000000000053
Anesthesiology	PGY2	2014	Change in Total Average Ranked Programs	0
Anesthesiology	PGY2	2015	No. of Programs	78
Anesthesiology	PGY2	2015	Positions Offered	506
Anesthesiology	PGY2	2015	Unfilled Programs	14
Anesthesiology	PGY2	2015	U.S. Senior Applicants	1017
Anesthesiology	PGY2	2015	Total Applicants	1581
Anesthesiology	PGY2	2015	U.S. Senior Matches	315
Anesthesiology	PGY2	2015	Total Matches	469
Anesthesiology	PGY2	2015	U.S. Senior Ranked Positions	5928
Anesthesiology	PGY2	2015	Total Ranked Positions	7976
Anesthesiology	PGY2	2015	U.S. Senior Average Ranked Programs	5.8
Anesthesiology	PGY2	2015	Total Average Ranked Programs	5
Anesthesiology	PGY2	2015	Change in No. of Programs	-2
Anesthesiology	PGY2	2015	Change in Positions Offered	-9
Anesthesiology	PGY2	2015	Change in Unfilled Programs	0
Anesthesiology	PGY2	2015	Change in U.S. Senior Applicants	16
Anesthesiology	PGY2	2015	Change in Total Applicants	1
Anesthesiology	PGY2	2015	Change in U.S. Senior Matches	-12
Anesthesiology	PGY2	2015	Change in Total Matches	-13
Anesthesiology	PGY2	2015	Change in U.S. Senior Ranked Positions	-171
Anesthesiology	PGY2	2015	Change in Total Ranked Positions	-328
Anesthesiology	PGY2	2015	Change in U.S. Senior Average Ranked Programs	-0.2999999999999998
Anesthesiology	PGY2	2015	Change in Total Average Ranked Programs	-0.2999999999999998
Anesthesiology	PGY2	2016	No. of Programs	77
Anesthesiology	PGY2	2016	Positions Offered	481
Anesthesiology	PGY2	2016	Unfilled Programs	16
Anesthesiology	PGY2	2016	U.S. Senior Applicants	952
Anesthesiology	PGY2	2016	Total Applicants	1540
Anesthesiology	PGY2	2016	U.S. Senior Matches	290
Anesthesiology	PGY2	2016	Total Matches	441
Anesthesiology	PGY2	2016	U.S. Senior Ranked Positions	5439
Anesthesiology	PGY2	2016	Total Ranked Positions	7788
Anesthesiology	PGY2	2016	U.S. Senior Average Ranked Programs	5.7
Anesthesiology	PGY2	2016	Total Average Ranked Programs	5.1
Anesthesiology	PGY2	2016	Change in No. of Programs	-1
Anesthesiology	PGY2	2016	Change in Positions Offered	-25
Anesthesiology	PGY2	2016	Change in Unfilled Programs	2
Anesthesiology	PGY2	2016	Change in U.S. Senior Applicants	-65
Anesthesiology	PGY2	2016	Change in Total Applicants	-41
Anesthesiology	PGY2	2016	Change in U.S. Senior Matches	-25
Anesthesiology	PGY2	2016	Change in Total Matches	-28
Anesthesiology	PGY2	2016	Change in U.S. Senior Ranked Positions	-489
Anesthesiology	PGY2	2016	Change in Total Ranked Positions	-188
Anesthesiology	PGY2	2016	Change in U.S. Senior Average Ranked Programs	-0.09999999999999964
Anesthesiology	PGY2	2016	Change in Total Average Ranked Programs	0.09999999999999964
Anesthesiology	PGY2	2017	No. of Programs	71
Anesthesiology	PGY2	2017	Positions Offered	441
Anesthesiology	PGY2	2017	Unfilled Programs	12
Anesthesiology	PGY2	2017	U.S. Senior Applicants	864
Anesthesiology	PGY2	2017	Total Applicants	1504
Anesthesiology	PGY2	2017	U.S. Senior Matches	229
Anesthesiology	PGY2	2017	Total Matches	414
Anesthesiology	PGY2	2017	U.S. Senior Ranked Positions	4760
Anesthesiology	PGY2	2017	Total Ranked Positions	7249
Anesthesiology	PGY2	2017	U.S. Senior Average Ranked Programs	5.5
Anesthesiology	PGY2	2017	Total Average Ranked Programs	4.8
Anesthesiology	PGY2	2017	Change in No. of Programs	-6
Anesthesiology	PGY2	2017	Change in Positions Offered	-40
Anesthesiology	PGY2	2017	Change in Unfilled Programs	-4
Anesthesiology	PGY2	2017	Change in U.S. Senior Applicants	-88
Anesthesiology	PGY2	2017	Change in Total Applicants	-36
Anesthesiology	PGY2	2017	Change in U.S. Senior Matches	-61
Anesthesiology	PGY2	2017	Change in Total Matches	-27
Anesthesiology	PGY2	2017	Change in U.S. Senior Ranked Positions	-679
Anesthesiology	PGY2	2017	Change in Total Ranked Positions	-539
Anesthesiology	PGY2	2017	Change in U.S. Senior Average Ranked Programs	-0.20000000000000018
Anesthesiology	PGY2	2017	Change in Total Average Ranked Programs	-0.2999999999999998
Anesthesiology	PGY2	2018	No. of Programs	75
Anesthesiology	PGY2	2018	Positions Offered	447
Anesthesiology	PGY2	2018	Unfilled Programs	4
Anesthesiology	PGY2	2018	U.S. Senior Applicants	919
Anesthesiology	PGY2	2018	Total Applicants	1601
Anesthesiology	PGY2	2018	U.S. Senior Matches	246
Anesthesiology	PGY2	2018	Total Matches	442
Anesthesiology	PGY2	2018	U.S. Senior Ranked Positions	5143
Anesthesiology	PGY2	2018	Total Ranked Positions	7781
Anesthesiology	PGY2	2018	U.S. Senior Average Ranked Programs	5.6
Anesthesiology	PGY2	2018	Total Average Ranked Programs	4.9
Anesthesiology	PGY2	2018	Change in No. of Programs	4
Anesthesiology	PGY2	2018	Change in Positions Offered	6
Anesthesiology	PGY2	2018	Change in Unfilled Programs	-8
Anesthesiology	PGY2	2018	Change in U.S. Senior Applicants	55
Anesthesiology	PGY2	2018	Change in Total Applicants	97
Anesthesiology	PGY2	2018	Change in U.S. Senior Matches	17
Anesthesiology	PGY2	2018	Change in Total Matches	28
Anesthesiology	PGY2	2018	Change in U.S. Senior Ranked Positions	383
Anesthesiology	PGY2	2018	Change in Total Ranked Positions	532
Anesthesiology	PGY2	2018	Change in U.S. Senior Average Ranked Programs	0.09999999999999964
Anesthesiology	PGY2	2018	Change in Total Average Ranked Programs	0.10000000000000053
Anesthesiology	PGY2	2019	No. of Programs	71
Anesthesiology	PGY2	2019	Positions Offered	428
Anesthesiology	PGY2	2019	Unfilled Programs	6
Anesthesiology	PGY2	2019	U.S. Senior Applicants	966
Anesthesiology	PGY2	2019	Total Applicants	1718
Anesthesiology	PGY2	2019	U.S. Senior Matches	246
Anesthesiology	PGY2	2019	Total Matches	420
Anesthesiology	PGY2	2019	U.S. Senior Ranked Positions	5299
Anesthesiology	PGY2	2019	Total Ranked Positions	7892
Anesthesiology	PGY2	2019	U.S. Senior Average Ranked Programs	5.5
Anesthesiology	PGY2	2019	Total Average Ranked Programs	4.6
Anesthesiology	PGY2	2019	Change in No. of Programs	-4
Anesthesiology	PGY2	2019	Change in Positions Offered	-19
Anesthesiology	PGY2	2019	Change in Unfilled Programs	2
Anesthesiology	PGY2	2019	Change in U.S. Senior Applicants	47
Anesthesiology	PGY2	2019	Change in Total Applicants	117
