Specialty	Year	Class	Name	Value
Dermatology	2014	PGY2	Total Applicants	601
Dermatology	2014	PGY2	MD Senior Matches	334
Dermatology	2014	PGY2	Total Matches	374
Dermatology	2015	PGY2	Positions Offered	385
Dermatology	2015	PGY2	MD Senior Applicants	485
Dermatology	2015	PGY2	Total Applicants	644
Dermatology	2015	PGY2	MD Senior Matches	336
Dermatology	2015	PGY2	Total Matches	381
Dermatology	2016	PGY2	Positions Offered	399
Dermatology	2016	PGY2	MD Senior Applicants	474
Dermatology	2016	PGY2	Total Applicants	619
Dermatology	2016	PGY2	MD Senior Matches	341
Dermatology	2016	PGY2	Total Matches	389
Dermatology	2017	PGY2	Positions Offered	423
Dermatology	2017	PGY2	MD Senior Applicants	479
Dermatology	2017	PGY2	Total Applicants	651
Dermatology	2017	PGY2	MD Senior Matches	346
Dermatology	2017	PGY2	Total Matches	415
Dermatology	2018	PGY2	Positions Offered	426
Dermatology	2018	PGY2	MD Senior Applicants	463
Dermatology	2018	PGY2	Total Applicants	651
Dermatology	2018	PGY2	MD Senior Matches	348
Dermatology	2018	PGY2	Total Matches	420
Dermatology	2019	PGY2	Positions Offered	447
Dermatology	2019	PGY2	MD Senior Applicants	488
Dermatology	2019	PGY2	Total Applicants	701
Dermatology	2019	PGY2	MD Senior Matches	370
Dermatology	2019	PGY2	Total Matches	444
Dermatology	2020	PGY2	Positions Offered	478
Dermatology	2020	PGY2	MD Senior Applicants	471
Dermatology	2020	PGY2	Total Applicants	699
Dermatology	2020	PGY2	MD Senior Matches	368
Dermatology	2020	PGY2	Total Matches	469
Dermatology	2021	PGY2	Positions Offered	477
Dermatology	2021	PGY2	MD Senior Applicants	517
Dermatology	2021	PGY2	Total Applicants	734
Dermatology	2021	PGY2	MD Senior Matches	382
Dermatology	2021	PGY2	Total Matches	471
Dermatology	2022	PGY2	Positions Offered	492
Dermatology	2022	PGY2	MD Senior Applicants	613
Dermatology	2022	PGY2	Total Applicants	851
Dermatology	2022	PGY2	MD Senior Matches	408
Dermatology	2022	PGY2	Total Matches	489
Emergency Med-Anesthesiology	2018	PGY1	Positions Offered	2
Emergency Med-Anesthesiology	2018	PGY1	MD Senior Applicants	3
Emergency Med-Anesthesiology	2018	PGY1	Total Applicants	3
Emergency Med-Anesthesiology	2018	PGY1	MD Senior Matches	2
Emergency Med-Anesthesiology	2018	PGY1	Total Matches	2
Emergency Med-Anesthesiology	2019	PGY1	Positions Offered	1
Emergency Med-Anesthesiology	2019	PGY1	MD Senior Applicants	2
Emergency Med-Anesthesiology	2019	PGY1	Total Applicants	8
Emergency Med-Anesthesiology	2019	PGY1	MD Senior Matches	0
Emergency Med-Anesthesiology	2019	PGY1	Total Matches	1
Emergency Med-Anesthesiology	2020	PGY1	Positions Offered	0
Emergency Med-Anesthesiology	2020	PGY1	MD Senior Applicants	1
Emergency Med-Anesthesiology	2020	PGY1	Total Applicants	1
Emergency Med-Anesthesiology	2020	PGY1	MD Senior Matches	0
Emergency Med-Anesthesiology	2020	PGY1	Total Matches	0
Emergency Med-Anesthesiology	2021	PGY1	Positions Offered	2
Emergency Med-Anesthesiology	2021	PGY1	MD Senior Applicants	4
Emergency Med-Anesthesiology	2021	PGY1	Total Applicants	5
Emergency Med-Anesthesiology	2021	PGY1	MD Senior Matches	2
Emergency Med-Anesthesiology	2021	PGY1	Total Matches	2
Emergency Med-Anesthesiology	2022	PGY1	Positions Offered	2
Emergency Med-Anesthesiology	2022	PGY1	MD Senior Applicants	3
Emergency Med-Anesthesiology	2022	PGY1	Total Applicants	6
Emergency Med-Anesthesiology	2022	PGY1	MD Senior Matches	1
Emergency Med-Anesthesiology	2022	PGY1	Total Matches	2
Emergency Med-Family Med	2012	PGY1	Positions Offered	4
Emergency Med-Family Med	2012	PGY1	MD Senior Applicants	12
Emergency Med-Family Med	2012	PGY1	Total Applicants	28
Emergency Med-Family Med	2012	PGY1	MD Senior Matches	2
Emergency Med-Family Med	2012	PGY1	Total Matches	4
Emergency Med-Family Med	2013	PGY1	Positions Offered	4
Emergency Med-Family Med	2013	PGY1	MD Senior Applicants	17
Emergency Med-Family Med	2013	PGY1	Total Applicants	29
Emergency Med-Family Med	2013	PGY1	MD Senior Matches	3
Emergency Med-Family Med	2013	PGY1	Total Matches	4
Emergency Med-Family Med	2014	PGY1	Positions Offered	4
Emergency Med-Family Med	2014	PGY1	MD Senior Applicants	19
Emergency Med-Family Med	2014	PGY1	Total Applicants	32
Emergency Med-Family Med	2014	PGY1	MD Senior Matches	4
Emergency Med-Family Med	2014	PGY1	Total Matches	4
Emergency Med-Family Med	2015	PGY1	Positions Offered	4
Emergency Med-Family Med	2015	PGY1	MD Senior Applicants	16
Emergency Med-Family Med	2015	PGY1	Total Applicants	34
Emergency Med-Family Med	2015	PGY1	MD Senior Matches	1
Emergency Med-Family Med	2015	PGY1	Total Matches	4
Emergency Med-Family Med	2016	PGY1	Positions Offered	4
Emergency Med-Family Med	2016	PGY1	MD Senior Applicants	15
Emergency Med-Family Med	2016	PGY1	Total Applicants	35
Emergency Med-Family Med	2016	PGY1	MD Senior Matches	2
Emergency Med-Family Med	2016	PGY1	Total Matches	4
Emergency Med-Family Med	2017	PGY1	Positions Offered	4
Emergency Med-Family Med	2017	PGY1	MD Senior Applicants	20
Emergency Med-Family Med	2017	PGY1	Total Applicants	28
Emergency Med-Family Med	2017	PGY1	MD Senior Matches	2
Emergency Med-Family Med	2017	PGY1	Total Matches	4
Emergency Med-Family Med	2018	PGY1	Positions Offered	4
Emergency Med-Family Med	2018	PGY1	MD Senior Applicants	15
Emergency Med-Family Med	2018	PGY1	Total Applicants	27
Emergency Med-Family Med	2018	PGY1	MD Senior Matches	3
Emergency Med-Family Med	2018	PGY1	Total Matches	4
Emergency Med-Family Med	2019	PGY1	Positions Offered	4
Emergency Med-Family Med	2019	PGY1	MD Senior Applicants	21
Emergency Med-Family Med	2019	PGY1	Total Applicants	38
Emergency Med-Family Med	2019	PGY1	MD Senior Matches	1
Emergency Med-Family Med	2019	PGY1	Total Matches	4
Emergency Med-Family Med	2020	PGY1	Positions Offered	6
Emergency Med-Family Med	2020	PGY1	MD Senior Applicants	15
Emergency Med-Family Med	2020	PGY1	Total Applicants	39
Emergency Med-Family Med	2020	PGY1	MD Senior Matches	2
Emergency Med-Family Med	2020	PGY1	Total Matches	6
Emergency Med-Family Med	2021	PGY1	Positions Offered	7
Emergency Med-Family Med	2021	PGY1	MD Senior Applicants	17
Emergency Med-Family Med	2021	PGY1	Total Applicants	34
Emergency Med-Family Med	2021	PGY1	MD Senior Matches	5
Emergency Med-Family Med	2021	PGY1	Total Matches	7
Emergency Med-Family Med	2022	PGY1	Positions Offered	7
Emergency Med-Family Med	2022	PGY1	MD Senior Applicants	17
Emergency Med-Family Med	2022	PGY1	Total Applicants	38
Emergency Med-Family Med	2022	PGY1	MD Senior Matches	4
Emergency Med-Family Med	2022	PGY1	Total Matches	7
Emergency Medicine	2012	PGY1	Positions Offered	1,668
Emergency Medicine	2012	PGY1	MD Senior Applicants	1,498
Emergency Medicine	2012	PGY1	Total Applicants	2,238
Emergency Medicine	2012	PGY1	MD Senior Matches	1,335
Emergency Medicine	2012	PGY1	Total Matches	1,668
Emergency Medicine	2013	PGY1	Positions Offered	1,744
Emergency Medicine	2013	PGY1	MD Senior Applicants	1,640
Emergency Medicine	2013	PGY1	Total Applicants	2,430
Emergency Medicine	2013	PGY1	MD Senior Matches	1,428
Emergency Medicine	2013	PGY1	Total Matches	1,741
Emergency Medicine	2014	PGY1	Positions Offered	1,786
Emergency Medicine	2014	PGY1	MD Senior Applicants	1,566
Emergency Medicine	2014	PGY1	Total Applicants	2,322
Emergency Medicine	2014	PGY1	MD Senior Matches	1,388
Emergency Medicine	2014	PGY1	Total Matches	1,772
Emergency Medicine	2015	PGY1	Positions Offered	1,821
Emergency Medicine	2015	PGY1	MD Senior Applicants	1,613
Emergency Medicine	2015	PGY1	Total Applicants	2,352
Emergency Medicine	2015	PGY1	MD Senior Matches	1,438
Emergency Medicine	2015	PGY1	Total Matches	1,813
Emergency Medicine	2016	PGY1	Positions Offered	1,895
Emergency Medicine	2016	PGY1	MD Senior Applicants	1,693
Emergency Medicine	2016	PGY1	Total Applicants	2,476
Emergency Medicine	2016	PGY1	MD Senior Matches	1,486
Emergency Medicine	2016	PGY1	Total Matches	1,894
Emergency Medicine	2017	PGY1	Positions Offered	2,047
Emergency Medicine	2017	PGY1	MD Senior Applicants	1,845
Emergency Medicine	2017	PGY1	Total Applicants	2,703
Emergency Medicine	2017	PGY1	MD Senior Matches	1,601
Emergency Medicine	2017	PGY1	Total Matches	2,041
Emergency Medicine	2018	PGY1	Positions Offered	2,278
Emergency Medicine	2018	PGY1	MD Senior Applicants	1,838
Emergency Medicine	2018	PGY1	Total Applicants	2,901
Emergency Medicine	2018	PGY1	MD Senior Matches	1,606
Emergency Medicine	2018	PGY1	Total Matches	2,265
Emergency Medicine	2019	PGY1	Positions Offered	2,488
Emergency Medicine	2019	PGY1	MD Senior Applicants	1,823
Emergency Medicine	2019	PGY1	Total Applicants	3,048
Emergency Medicine	2019	PGY1	MD Senior Matches	1,617
Emergency Medicine	2019	PGY1	Total Matches	2,458
Emergency Medicine	2020	PGY1	Positions Offered	2,665
Emergency Medicine	2020	PGY1	MD Senior Applicants	1,935
Emergency Medicine	2020	PGY1	Total Applicants	3,323
Emergency Medicine	2020	PGY1	MD Senior Matches	1,713
Emergency Medicine	2020	PGY1	Total Matches	2,652
Emergency Medicine	2021	PGY1	Positions Offered	2,840
Emergency Medicine	2021	PGY1	MD Senior Applicants	2,081
Emergency Medicine	2021	PGY1	Total Applicants	3,734
Emergency Medicine	2021	PGY1	MD Senior Matches	1,765
Emergency Medicine	2021	PGY1	Total Matches	2,826
Emergency Medicine	2022	PGY1	Positions Offered	2,921
Emergency Medicine	2022	PGY1	MD Senior Applicants	1,695
Emergency Medicine	2022	PGY1	Total Applicants	3,081
Emergency Medicine	2022	PGY1	MD Senior Matches	1,593
Emergency Medicine	2022	PGY1	Total Matches	2,702
Family Med-Preventive Med	2012	PGY1	Positions Offered	6
Family Med-Preventive Med	2012	PGY1	MD Senior Applicants	17
Family Med-Preventive Med	2012	PGY1	Total Applicants	34
Family Med-Preventive Med	2012	PGY1	MD Senior Matches	1
Family Med-Preventive Med	2012	PGY1	Total Matches	4
Family Med-Preventive Med	2013	PGY1	Positions Offered	6
Family Med-Preventive Med	2013	PGY1	MD Senior Applicants	14
Family Med-Preventive Med	2013	PGY1	Total Applicants	40
Family Med-Preventive Med	2013	PGY1	MD Senior Matches	3
Family Med-Preventive Med	2013	PGY1	Total Matches	5
Family Med-Preventive Med	2014	PGY1	Positions Offered	5
Family Med-Preventive Med	2014	PGY1	MD Senior Applicants	16
Family Med-Preventive Med	2014	PGY1	Total Applicants	45
Family Med-Preventive Med	2014	PGY1	MD Senior Matches	3
Family Med-Preventive Med	2014	PGY1	Total Matches	5
Family Med-Preventive Med	2015	PGY1	Positions Offered	5
Family Med-Preventive Med	2015	PGY1	MD Senior Applicants	24
Family Med-Preventive Med	2015	PGY1	Total Applicants	36
Family Med-Preventive Med	2015	PGY1	MD Senior Matches	5
Family Med-Preventive Med	2015	PGY1	Total Matches	5
Family Med-Preventive Med	2016	PGY1	Positions Offered	6
Family Med-Preventive Med	2016	PGY1	MD Senior Applicants	17
Family Med-Preventive Med	2016	PGY1	Total Applicants	60
Family Med-Preventive Med	2016	PGY1	MD Senior Matches	1
Family Med-Preventive Med	2016	PGY1	Total Matches	6
Family Med-Preventive Med	2017	PGY1	Positions Offered	6
Family Med-Preventive Med	2017	PGY1	MD Senior Applicants	24
Family Med-Preventive Med	2017	PGY1	Total Applicants	44
Family Med-Preventive Med	2017	PGY1	MD Senior Matches	5
Family Med-Preventive Med	2017	PGY1	Total Matches	6
Family Med-Preventive Med	2018	PGY1	Positions Offered	3
Family Med-Preventive Med	2018	PGY1	MD Senior Applicants	20
Family Med-Preventive Med	2018	PGY1	Total Applicants	37
Family Med-Preventive Med	2018	PGY1	MD Senior Matches	3
Family Med-Preventive Med	2018	PGY1	Total Matches	3
Family Med-Preventive Med	2019	PGY1	Positions Offered	4
Family Med-Preventive Med	2019	PGY1	MD Senior Applicants	15
Family Med-Preventive Med	2019	PGY1	Total Applicants	40
Family Med-Preventive Med	2019	PGY1	MD Senior Matches	3
Family Med-Preventive Med	2019	PGY1	Total Matches	4
Family Med-Preventive Med	2020	PGY1	Positions Offered	3
Family Med-Preventive Med	2020	PGY1	MD Senior Applicants	9
Family Med-Preventive Med	2020	PGY1	Total Applicants	11
Family Med-Preventive Med	2020	PGY1	MD Senior Matches	2
Family Med-Preventive Med	2020	PGY1	Total Matches	2
Family Med-Preventive Med	2021	PGY1	Positions Offered	2
Family Med-Preventive Med	2021	PGY1	MD Senior Applicants	7
Family Med-Preventive Med	2021	PGY1	Total Applicants	13
Family Med-Preventive Med	2021	PGY1	MD Senior Matches	1
Family Med-Preventive Med	2021	PGY1	Total Matches	2
Family Med-Preventive Med	2022	PGY1	Positions Offered	2
Family Med-Preventive Med	2022	PGY1	MD Senior Applicants	9
Family Med-Preventive Med	2022	PGY1	Total Applicants	22
